strain,name,cosm,treatment,timepoint,mutations,fixed,linegroup,number_of_variants,fixed_total_ratio,fixed_total_ratio_number,fixation_rate,acc_rate,hill
At,T11.4.4,4,4,T11,1.5819329466611658,0,at_4_4,5,0.0,0.0,0.0,1.5819329466611658,1.5819329466611658
At,T11.4.5,5,4,T11,1.94215343945141,0,at_5_4,6,0.0,0.0,0.0,1.94215343945141,1.94215343945141
Ms,T22.4.5,5,4,T22,9.657142857142858,6,ms_5_4,14,0.621301775147929,0.42857142857142855,3.0,4.828571428571429,9.657142857142858
Ms,T33.4.4,4,4,T33,0.0,0,ms_4_4,0,,,0.0,0.0,0.0
Ms,T33.4.2,2,4,T33,11.486328130539876,7,ms_2_4,18,0.6094201663444024,0.3888888888888889,2.3333333333333335,3.828776043513292,11.486328130539876
Ms,T44.4.4,4,4,T44,0.0,0,ms_4_4,0,,,0.0,0.0,0.0
Ms,T44.4.2,2,4,T44,23.71067476555093,8,ms_2_4,49,0.337400773242571,0.16326530612244897,2.0,5.927668691387733,23.71067476555093
Oa,T44.4.3,3,4,T44,5.622512476816765,1,oa_3_4,15,0.17785643057677283,0.06666666666666667,0.25,1.4056281192041913,5.622512476816765
Oa,T44.4.2,2,4,T44,8.979258253146762,1,oa_2_4,17,0.11136777357412035,0.058823529411764705,0.25,2.2448145632866905,8.979258253146762
Oa,T44.4.1,1,4,T44,5.497171915405841,1,oa_1_4,11,0.1819117203152219,0.09090909090909091,0.25,1.3742929788514602,5.497171915405841
Oa,T33.4.5,5,4,T33,4.5521628247084065,1,oa_5_4,13,0.21967579774874507,0.07692307692307693,0.3333333333333333,1.5173876082361355,4.5521628247084065
Oa,T33.4.4,4,4,T33,6.508802074544997,1,oa_4_4,14,0.1536381024568036,0.07142857142857142,0.3333333333333333,2.169600691514999,6.508802074544997
Oa,T33.4.3.rep,3,4,T33,5.559839339532053,1,oa_3_4,14,0.17986131233859817,0.07142857142857142,0.3333333333333333,1.8532797798440177,5.559839339532053
Oa,T33.4.2,2,4,T33,5.7194549474129,1,oa_2_4,11,0.1748418353137537,0.09090909090909091,0.3333333333333333,1.9064849824709666,5.7194549474129
Oa,T33.4.1,1,4,T33,5.097266415879346,1,oa_1_4,15,0.1961835851633599,0.06666666666666667,0.3333333333333333,1.6990888052931155,5.097266415879346
Oa,T22.4.5,5,4,T22,5.262922086833256,1,oa_5_4,13,0.19000851304673377,0.07692307692307693,0.5,2.631461043416628,5.262922086833256
Oa,T22.4.4,4,4,T22,3.5311636828644497,1,oa_4_4,8,0.28319276301256263,0.125,0.5,1.7655818414322249,3.5311636828644497
Oa,T22.4.3,3,4,T22,3.694156027442169,1,oa_3_4,7,0.270697824502123,0.14285714285714285,0.5,1.8470780137210845,3.694156027442169
Oa,T22.4.2,2,4,T22,3.984586247086247,1,oa_2_4,9,0.25096708616390373,0.1111111111111111,0.5,1.9922931235431236,3.984586247086247
Oa,T22.4.1,1,4,T22,3.4359808499288684,1,oa_1_4,11,0.29103771053342803,0.09090909090909091,0.5,1.7179904249644342,3.4359808499288684
Oa,T11.4.5,5,4,T11,2.420216435124769,1,oa_5_4,7,0.4131861867752531,0.14285714285714285,1.0,2.420216435124769,2.420216435124769
Oa,T11.4.4,4,4,T11,1.6974900645079352,1,oa_4_4,3,0.5891050680699436,0.3333333333333333,1.0,1.6974900645079352,1.6974900645079352
Oa,T11.4.3,3,4,T11,1.9830239386343418,1,oa_3_4,3,0.5042803470585809,0.3333333333333333,1.0,1.9830239386343418,1.9830239386343418
Oa,T11.4.2,2,4,T11,1.0,1,oa_2_4,1,1.0,1.0,1.0,1.0,1.0
Oa,T11.4.1,1,4,T11,3.575194901326737,1,oa_1_4,4,0.2797050308023501,0.25,1.0,3.575194901326737,3.575194901326737
Ms,T44.4.5.rep,5,4,T44,32.72400227499102,16,ms_5_4,39,0.48893774867592626,0.41025641025641024,4.0,8.181000568747756,32.72400227499102
Ms,T22.4.4,4,4,T22,0.0,0,ms_4_4,0,,,0.0,0.0,0.0
Ms,T44.4.3,3,4,T44,15.318776682553773,6,ms_3_4,29,0.39167618435441204,0.20689655172413793,1.5,3.8296941706384433,15.318776682553773
Ms,T44.4.1,1,4,T44,2.75,2,ms_1_4,3,0.7272727272727273,0.6666666666666666,0.5,0.6875,2.75
Ms,T22.4.3,3,4,T22,9.481285381285382,6,ms_3_4,13,0.6328255883788805,0.46153846153846156,3.0,4.740642690642691,9.481285381285382
Ms,T11.4.3,3,4,T11,10.37897384948619,6,ms_3_4,13,0.578091831332346,0.46153846153846156,6.0,10.37897384948619,10.37897384948619
Ms,T22.4.1,1,4,T22,0.0,0,ms_1_4,0,,,0.0,0.0,0.0
Ct,T33.4.3.rep,3,4,T33,8.482774471788186,3,ct_3_4,17,0.3536578757312634,0.17647058823529413,1.0,2.827591490596062,8.482774471788186
Ct,T33.4.2,2,4,T33,9.79336947082584,3,ct_2_4,20,0.3063297069447764,0.15,1.0,3.2644564902752804,9.79336947082584
Ct,T33.4.1,1,4,T33,8.548174576460992,4,ct_1_4,15,0.467936161600484,0.26666666666666666,1.3333333333333333,2.8493915254869973,8.548174576460992
Oa,T44.4.4,4,4,T44,6.391445335782904,1,oa_4_4,11,0.15645913364875982,0.09090909090909091,0.25,1.597861333945726,6.391445335782904
At,T44.4.1,1,4,T44,3.2233161926478635,1,at_1_4,6,0.3102394987748714,0.16666666666666666,0.25,0.8058290481619659,3.2233161926478635
At,T44.4.2,2,4,T44,4.681823298698732,3,at_2_4,8,0.6407759987084137,0.375,0.75,1.170455824674683,4.681823298698732
At,T44.4.3,3,4,T44,5.330399413419787,0,at_3_4,8,0.0,0.0,0.0,1.3325998533549468,5.330399413419787
At,T44.4.4,4,4,T44,6.505878532494396,5,at_4_4,13,0.7685357135130784,0.38461538461538464,1.25,1.626469633123599,6.505878532494396
Ct,T22.4.5,5,4,T22,8.78722374772537,4,ct_5_4,13,0.45520634444245556,0.3076923076923077,2.0,4.393611873862685,8.78722374772537
Ct,T22.4.4,4,4,T22,8.000095337734244,3,ct_4_4,12,0.3749955310969642,0.25,1.5,4.000047668867122,8.000095337734244
Ct,T22.4.3,3,4,T22,5.913555897005731,3,ct_3_4,13,0.5073089782611203,0.23076923076923078,1.5,2.9567779485028653,5.913555897005731
Ct,T22.4.2,2,4,T22,6.4346496604017265,3,ct_2_4,11,0.4662258488541713,0.2727272727272727,1.5,3.2173248302008632,6.4346496604017265
Ct,T22.4.1,1,4,T22,5.538614358786993,3,ct_1_4,7,0.541651721109723,0.42857142857142855,1.5,2.7693071793934965,5.538614358786993
At,T44.4.5.rep,5,4,T44,7.958757868482389,5,at_5_4,13,0.6282387380825574,0.38461538461538464,1.25,1.9896894671205974,7.958757868482389
Ct,T11.4.1,1,4,T11,5.1871641208887915,4,ct_1_4,7,0.7711342665816061,0.5714285714285714,4.0,5.1871641208887915,5.1871641208887915
Ct,T11.4.2,2,4,T11,5.152713902153188,3,ct_2_4,8,0.5822174599576305,0.375,3.0,5.152713902153188,5.152713902153188
Ct,T11.4.3,3,4,T11,5.41351908111386,3,ct_3_4,9,0.5541681769380102,0.3333333333333333,3.0,5.41351908111386,5.41351908111386
